id,name,address,longitude,latitude,category,reserve_url,municipality_id,user_id
50,亀戸南地区集会所,東京都江東区亀戸7-56-3,139.83516,35.696265,地区集会所,https://www.city.koto.lg.jp/101010/kurashi/komyunitei/chiiki/shukai/7685.html,8,1
51,亀戸水神地区集会所,東京都江東区亀戸8-27-5,139.833921,35.701781,地区集会所,https://www.city.koto.lg.jp/101010/kurashi/komyunitei/chiiki/shukai/7685.html,8,1
52,亀戸東地区集会所,東京都江東区亀戸9-34-1-135,139.840646,35.699359,地区集会所,https://www.city.koto.lg.jp/101010/kurashi/komyunitei/chiiki/shukai/7685.html,8,1
53,大島中央地区集会所,東京都江東区大島5-12-14,139.833344,35.688757,地区集会所,https://www.city.koto.lg.jp/101010/kurashi/komyunitei/chiiki/shukai/7685.html,8,1
54,大島地区集会所,東京都江東区大島7-16-4,139.838962,35.69256,地区集会所,https://www.city.koto.lg.jp/101010/kurashi/komyunitei/chiiki/shukai/7685.html,8,1
55,大島東地区集会所,東京都江東区大島7-29-4,139.842884,35.694248,地区集会所,https://www.city.koto.lg.jp/101010/kurashi/komyunitei/chiiki/shukai/7685.html,8,1
56,北砂中央地区集会所,東京都江東区北砂3-31-4,139.828433,35.679872,地区集会所,https://www.city.koto.lg.jp/101010/kurashi/komyunitei/chiiki/shukai/7685.html,8,1
57,北砂地区集会所,東京都江東区北砂4-20-13,139.83233,35.677437,地区集会所,https://www.city.koto.lg.jp/101010/kurashi/komyunitei/chiiki/shukai/7685.html,8,1
58,亀高地区集会所,東京都江東区北砂6-26-7,139.838388,35.681572,地区集会所,https://www.city.koto.lg.jp/101010/kurashi/komyunitei/chiiki/shukai/7685.html,8,1
59,東砂北地区集会所,東京都江東区東砂3-17-17,139.842149,35.681336,地区集会所,https://www.city.koto.lg.jp/101010/kurashi/komyunitei/chiiki/shukai/7685.html,8,1
60,南砂北地区集会所,東京都江東区南砂1-4-24,139.821087,35.679722,地区集会所,https://www.city.koto.lg.jp/101010/kurashi/komyunitei/chiiki/shukai/7685.html,8,1
61,東砂南地区集会所,東京都江東区東砂6-19-9,139.841341,35.674504,地区集会所,https://www.city.koto.lg.jp/101010/kurashi/komyunitei/chiiki/shukai/7685.html,8,1
62,東砂西地区集会所,東京都江東区東砂7-5-1,139.839835,35.670618,地区集会所,https://www.city.koto.lg.jp/101010/kurashi/komyunitei/chiiki/shukai/7685.html,8,1
63,南砂西地区集会所,東京都江東区南砂4-3-22,139.827373,35.674162,地区集会所,https://www.city.koto.lg.jp/101010/kurashi/komyunitei/chiiki/shukai/7685.html,8,1
